Time_ns,In_L,In_R,Out_L,Out_R,Valid_Out
5125,20536,-27893,25329,-26289,1
5135,17633,-28531,23115,-27144,1
5145,14452,-29057,20536,-27893,1
5155,11043,-29468,17633,-28531,1
5165,7460,-29763,14452,-29057,1
5175,3759,-29940,11043,-29468,1
5185,0,-29999,7460,-29763,1
5195,-3759,-29940,3759,-29940,1
5205,-7460,-29763,0,-29999,1
5215,-11043,-29468,-3759,-29940,1
5225,-14452,-29057,-7460,-29763,1
5235,-17633,-28531,-11043,-29468,1
5245,-20536,-27893,-14452,-29057,1
5255,-23115,-27144,-17633,-28531,1
5265,-25329,-26289,-20536,-27893,1
5275,-27144,-25329,-23115,-27144,1
5285,-28531,-24270,-25329,-26289,1
5295,-29468,-23115,-27144,-25329,1
5305,-29940,-21869,-28531,-24270,1
5315,-29940,-20536,-29468,-23115,1
5325,-29468,-19122,-29940,-21869,1
5335,-28531,-17633,-29940,-20536,1
5345,-27144,-16074,-29468,-19122,1
5355,-25329,-14452,-28531,-17633,1
5365,-23115,-12773,-27144,-16074,1
5375,-20536,-11043,-25329,-14452,1
5385,-17633,-9270,-23115,-12773,1
5395,-14452,-7460,-20536,-11043,1
5405,-11043,-5621,-17633,-9270,1
5415,-7460,-3759,-14452,-7460,1
5425,-3759,-1883,-11043,-5621,1
5435,0,0,-7460,-3759,1
5445,0,0,-3759,-1883,1
5455,0,0,0,0,1
5465,0,0,3759,1883,1
5475,0,0,7460,3759,1
5485,0,0,11043,5621,1
5495,0,0,14452,7460,1
5505,0,0,17633,9270,1
5515,0,0,20536,11043,1
5525,0,0,23115,12773,1
5535,0,0,25329,14452,1
5545,0,0,27144,16074,1
5555,0,0,28531,17633,1
5565,0,0,29468,19122,1
5575,0,0,29940,20536,1
5585,0,0,29940,21869,1
5595,0,0,29468,23115,1
5605,0,0,28531,24270,1
5615,0,0,27144,25329,1
5625,0,0,25329,26289,1
5635,0,0,23115,27144,1
5645,0,0,20536,27893,1
5655,0,0,17633,28531,1
5665,0,0,14452,29057,1
5675,0,0,11043,29468,1
5685,0,0,7460,29763,1
5695,0,0,3759,29940,1
5705,0,0,0,29999,1
